"Story","Title","Result","Date","Stability","Duration (s)"
"Booking","GET - As an Admin I have to be able to get all classes","SUCCESS","2022-07-16T23:09:06.7654503+07:00[Asia/Bangkok]","0.0","9.74"
"Booking","POST - As an Admin I have to be able to create a booking","SUCCESS","2022-07-16T23:09:16.5130386+07:00[Asia/Bangkok]","0.0","8.72"
"Booking","GET - As an Admin I have to be able to get all booking","SUCCESS","2022-07-16T23:09:25.2429+07:00[Asia/Bangkok]","0.0","5.44"
"Booking","GET - As an Admin I have to be able to get booking by id","SUCCESS","2022-07-16T23:09:30.6931484+07:00[Asia/Bangkok]","0.0","3.27"
"Booking","PUT - As an Admin I have to be able to accept user's booking","SUCCESS","2022-07-16T23:09:33.9655839+07:00[Asia/Bangkok]","0.0","3.06"
"Booking","GET - As an Admin I have to able to get booking by user's id","SUCCESS","2022-07-16T23:09:37.0323862+07:00[Asia/Bangkok]","0.0","3.17"
"Class","GET - As an Admin I have to be able to get all classes","SUCCESS","2022-07-16T23:09:06.9307652+07:00[Asia/Bangkok]","0.0","13.99"
"Class","GET- As an Admin I have to be able to get a class by id","SUCCESS","2022-07-16T23:09:20.931773+07:00[Asia/Bangkok]","0.0","3.51"
"Class","POST - Create a class by category","SUCCESS","2022-07-16T23:09:24.4462067+07:00[Asia/Bangkok]","0.0","3.54"
"Class","POST - Create a class by category negative","SUCCESS","2022-07-16T23:09:27.9948062+07:00[Asia/Bangkok]","0.0","13.04"
"Class","POST - Create a class by category with null id instructor","SUCCESS","2022-07-16T23:09:41.0420716+07:00[Asia/Bangkok]","0.0","3.07"
"Class","DELETE - delete a class by id","SUCCESS","2022-07-16T23:09:44.116645+07:00[Asia/Bangkok]","0.0","2.89"
"Class","PUT - update class","SUCCESS","2022-07-16T23:09:47.0155916+07:00[Asia/Bangkok]","0.0","9.33"
"User","GET - As an admin I have to be able to get data users by category","SUCCESS","2022-07-16T23:09:06.9128516+07:00[Asia/Bangkok]","0.0","9.43"
"User","GET - As an Admin I have to be able to get all users","SUCCESS","2022-07-16T23:09:16.3544975+07:00[Asia/Bangkok]","0.0","1.65"
"User","GET - As an Admin I have to be able to get an user by id","SUCCESS","2022-07-16T23:09:18.0131269+07:00[Asia/Bangkok]","0.0","2.98"
"User","POST - As an Admin I have to be able to create new superadmin, admin, and user","SUCCESS","2022-07-16T23:09:21.0015784+07:00[Asia/Bangkok]","0.0","5.14"
"User","POST - As an Admin I have not to be able to create new superadmin, admin, and user","SUCCESS","2022-07-16T23:09:26.156207+07:00[Asia/Bangkok]","0.0","28.36"
"User","PUT - Update password user","SUCCESS","2022-07-16T23:09:54.5278875+07:00[Asia/Bangkok]","0.0","4.41"
"User","PUT - Update user","SUCCESS","2022-07-16T23:09:58.9390532+07:00[Asia/Bangkok]","0.0","11.03"
